Rk	team	PAKE	PASE	Wins	Loss	W%	R64	R32	S16	E8	F4	F2	Champ	Top2	F4%	Champ%
1	Connecticut	15.1	16.9	46	12	0.793	17	13	9	8	6	5	5	6	96.1%	62.2%
2	North Carolina	14.0	11.0	57	18	0.760	21	19	13	10	7	5	3	12	99.3%	71.0%
3	Michigan St.	13.2	16.5	53	23	0.697	24	19	14	10	7	2	1	7	98.3%	61.1%
4	Florida	10.6	13.3	45	16	0.738	19	15	9	9	5	4	3	5	97.5%	63.3%
5	UCLA	10.3	11.5	36	17	0.679	17	15	12	4	4	1	0	4	88.7%	38.6%
6	Butler	9.2	11.0	22	13	0.629	13	11	5	2	2	2	0	0	43.7%	6.7%
7	Syracuse	9.0	7.2	32	15	0.681	16	13	10	4	3	1	1	2	80.9%	27.7%
8	Michigan	7.8	8.4	26	12	0.684	12	10	8	4	2	2	0	3	77.0%	26.8%
9	Oregon	7.1	6.2	23	14	0.622	14	12	7	4	1	0	0	2	58.4%	11.6%
10	Kentucky	5.2	5.2	48	21	0.696	22	19	13	9	4	2	1	10	99.2%	72.7%
11	Villanova	5.0	3.8	34	14	0.708	16	13	8	5	4	2	2	8	95.2%	59.2%
12	Kansas	5.0	-2.0	59	23	0.720	25	22	14	11	6	4	2	15	99.8%	82.0%
13	Miami FL	4.5	3.2	14	9	0.609	9	6	5	2	1	0	0	1	33.3%	5.1%
14	Xavier	3.8	3.0	24	17	0.585	17	13	8	3	0	0	0	2	62.5%	11.6%
15	Loyola Chicago	3.4	4.0	6	3	0.667	3	2	2	1	1	0	0	0	9.5%	1.2%
16	Gonzaga	3.4	4.3	44	25	0.638	25	22	13	5	2	2	0	7	98.5%	70.9%
17	Maryland	3.3	3.9	25	14	0.641	15	14	5	2	2	1	1	1	81.8%	28.6%
18	Florida Atlantic	2.7	2.6	4	3	0.571	3	1	1	1	1	0	0	0	3.4%	0.4%
19	Saint Peter's	2.6	2.6	3	3	0.500	3	1	1	1	0	0	0	0	0.2%	0.0%
20	George Mason	2.5	3.0	5	4	0.556	4	2	1	1	1	0	0	0	9.1%	1.2%
21	Ohio	2.5	3.1	4	4	0.500	4	3	1	0	0	0	0	0	2.1%	0.1%
22	N.C. State	2.4	4.0	13	12	0.520	12	7	4	1	1	0	0	0	35.1%	6.1%
23	Arkansas	2.1	2.2	13	12	0.520	12	7	4	2	0	0	0	0	27.2%	3.2%
24	Tulsa	1.9	3.1	5	4	0.556	4	3	1	1	0	0	0	0	13.2%	3.2%
25	Oregon St.	1.9	1.6	3	2	0.600	2	1	1	1	0	0	0	0	2.3%	0.1%
Rk	team	PAKE	PASE	Wins	Loss	W%	R64	R32	S16	E8	F4	F2	Champ	Top2	F4%	Champ%
26	South Carolina	1.6	1.4	4	3	0.571	3	1	1	1	1	0	0	0	6.3%	0.6%
27	Wisconsin	1.6	5.3	36	23	0.610	23	18	10	4	3	1	0	3	91.5%	39.9%
28	West Virginia	1.6	2.9	19	13	0.594	13	9	7	2	1	0	0	1	68.8%	19.1%
29	La Salle	1.5	1.8	2	1	0.667	1	1	1	0	0	0	0	0	0.8%	0.0%
30	Florida Gulf Coast	1.5	1.7	2	3	0.400	3	1	1	0	0	0	0	0	0.2%	0.0%
31	Kansas St.	1.4	0.3	12	10	0.545	10	6	3	3	0	0	0	1	42.7%	8.1%
32	UAB	1.4	1.0	4	6	0.400	6	3	1	0	0	0	0	0	3.8%	0.2%
33	Bradley	1.3	1.7	2	2	0.500	2	1	1	0	0	0	0	0	2.5%	0.2%
34	Florida St.	1.3	1.2	11	8	0.579	8	6	4	1	0	0	0	0	34.1%	4.6%
35	Texas Tech	1.2	3.4	17	11	0.607	11	7	5	3	1	1	0	0	66.6%	22.3%
36	Milwaukee	1.2	1.2	3	4	0.429	4	2	1	0	0	0	0	0	3.1%	0.3%
37	Dayton	1.1	-1.4	6	9	0.400	9	4	1	1	0	0	0	0	7.7%	0.3%
38	Cornell	1.1	1.2	2	3	0.400	3	1	1	0	0	0	0	0	2.0%	0.1%
39	Middle Tennessee	1.1	1.4	2	2	0.500	2	2	0	0	0	0	0	0	1.6%	0.1%
40	Georgia St.	1.0	0.9	2	5	0.286	5	2	0	0	0	0	0	0	0.3%	0.0%
41	Alabama	1.0	-0.2	17	12	0.586	12	8	5	3	1	0	0	4	67.5%	21.1%
42	Fairleigh Dickinson	1.0	1.0	1	3	0.250	3	1	0	0	0	0	0	0	0.0%	0.0%
